run_accession	sample_accession	country	collection_date	instrument_model	library_strategy	read_count	fastq_ftp
SRR21472925	SAMN30525267	Pakistan	2018-04-02	NextSeq 500	WGS	1598591	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/025/SRR21472925/SRR21472925_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/025/SRR21472925/SRR21472925_2.fastq.gz
SRR21473056	SAMN30525368	Pakistan	2018-05-01	MinION	WGS	28246	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/056/SRR21473056/SRR21473056_1.fastq.gz
SRR29468160	SAMN41914983	Pakistan: Punjab	2021	Illumina MiSeq	WGS	920716	ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/060/SRR29468160/SRR29468160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR294/060/SRR29468160/SRR29468160_2.fastq.gz
SRR31929729	SAMN46120401	Pakistan: Karachi	2024-08-30	BGISEQ-500	AMPLICON	4019892	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/029/SRR31929729/SRR31929729_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/029/SRR31929729/SRR31929729_2.fastq.gz
SRR33541246	SAMN48433936	Pakistan:Karachi	2023-09-09	NextSeq 2000	WGS	429705	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/046/SRR33541246/SRR33541246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/046/SRR33541246/SRR33541246_2.fastq.gz
SRR33541247	SAMN48433935	Pakistan:Quetta	2023-09-09	NextSeq 2000	WGS	11476403	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/047/SRR33541247/SRR33541247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/047/SRR33541247/SRR33541247_2.fastq.gz
SRR33541249	SAMN48433853	Pakistan:Quetta	2023-02-20	NextSeq 2000	WGS	4381391	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/049/SRR33541249/SRR33541249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/049/SRR33541249/SRR33541249_2.fastq.gz
SRR33541252	SAMN48433931	Pakistan:Karachi	2023-09-02	NextSeq 2000	WGS	7568055	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/052/SRR33541252/SRR33541252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/052/SRR33541252/SRR33541252_2.fastq.gz
SRR33541259	SAMN48433924	Pakistan:Quetta	2023-08-28	NextSeq 2000	WGS	7621692	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/059/SRR33541259/SRR33541259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/059/SRR33541259/SRR33541259_2.fastq.gz
SRR33541265	SAMN48433890	Pakistan:Karachi	2023-05-25	NextSeq 2000	WGS	9117732	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/065/SRR33541265/SRR33541265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/065/SRR33541265/SRR33541265_2.fastq.gz
SRR33541267	SAMN48433888	Pakistan:Badin	2023-05-23	NextSeq 2000	WGS	8757066	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/067/SRR33541267/SRR33541267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/067/SRR33541267/SRR33541267_2.fastq.gz
SRR33541276	SAMN48433852	Pakistan:Karachi	2023-02-18	NextSeq 2000	WGS	6324688	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/076/SRR33541276/SRR33541276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/076/SRR33541276/SRR33541276_2.fastq.gz
SRR33541280	SAMN48433920	Pakistan:Karachi	2023-08-20	NextSeq 2000	WGS	4662167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/080/SRR33541280/SRR33541280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/080/SRR33541280/SRR33541280_2.fastq.gz
SRR33541282	SAMN48433918	Pakistan:Bhawalpur	2023-07-25	NextSeq 2000	WGS	6056074	ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/082/SRR33541282/SRR33541282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR335/082/SRR33541282/SRR33541282_2.fastq.gz
