run_accession	sample_accession	country	collection_date	instrument_model	library_strategy	read_count	fastq_ftp
ERR4920564	SAMEA7472609	Pakistan	2015-17	Illumina MiSeq	WGS	1131998	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/004/ERR4920564/ERR4920564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/004/ERR4920564/ERR4920564_2.fastq.gz
ERR4920566	SAMEA7472612	Pakistan	2015-17	Illumina MiSeq	WGS	841156	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/006/ERR4920566/ERR4920566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/006/ERR4920566/ERR4920566_2.fastq.gz
ERR4920573	SAMEA7472647	Pakistan	2015-17	Illumina MiSeq	WGS	531908	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920573/ERR4920573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/003/ERR4920573/ERR4920573_2.fastq.gz
ERR4920575	SAMEA7472659	Pakistan	2015-17	Illumina MiSeq	WGS	698206	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/005/ERR4920575/ERR4920575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/005/ERR4920575/ERR4920575_2.fastq.gz
ERR4920579	SAMEA7472713	Pakistan	2015-17	Illumina MiSeq	WGS	1457612	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/009/ERR4920579/ERR4920579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/009/ERR4920579/ERR4920579_2.fastq.gz
ERR4920581	SAMEA7472729	Pakistan	2015-17	Illumina MiSeq	WGS	1182740	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920581/ERR4920581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/001/ERR4920581/ERR4920581_2.fastq.gz
ERR4920582	SAMEA7472736	Pakistan	2015-17	Illumina MiSeq	WGS	1531602	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/002/ERR4920582/ERR4920582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/002/ERR4920582/ERR4920582_2.fastq.gz
ERR4920584	SAMEA7472748	Pakistan	2015-17	Illumina MiSeq	WGS	713464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/004/ERR4920584/ERR4920584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/004/ERR4920584/ERR4920584_2.fastq.gz
ERR4920586	SAMEA7472759	Pakistan	2015-17	Illumina MiSeq	WGS	1522304	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/006/ERR4920586/ERR4920586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/006/ERR4920586/ERR4920586_2.fastq.gz
ERR4920587	SAMEA7472782	Pakistan	2015-17	Illumina MiSeq	WGS	649556	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/007/ERR4920587/ERR4920587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/007/ERR4920587/ERR4920587_2.fastq.gz
ERR4920590	SAMEA7472813	Pakistan	2015-17	Illumina MiSeq	WGS	776398	ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/000/ERR4920590/ERR4920590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR492/000/ERR4920590/ERR4920590_2.fastq.gz
ERR5685330	SAMEA8515267	Pakistan	2015-17	Illumina MiSeq	WGS	860344	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685330/ERR5685330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685330/ERR5685330_2.fastq.gz
ERR5685351	SAMEA8515181	Pakistan	2015-17	Illumina MiSeq	WGS	1539436	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/001/ERR5685351/ERR5685351_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/001/ERR5685351/ERR5685351_2.fastq.gz
ERR5685359	SAMEA8515191	Pakistan	2015-17	Illumina MiSeq	WGS	381480	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685359/ERR5685359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685359/ERR5685359_2.fastq.gz
ERR5685368	SAMEA8515202	Pakistan	2015-17	Illumina MiSeq	WGS	1025572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685368/ERR5685368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685368/ERR5685368_2.fastq.gz
ERR5685373	SAMEA8515216	Pakistan	2015-17	Illumina MiSeq	WGS	1104034	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685373/ERR5685373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685373/ERR5685373_2.fastq.gz
ERR5685377	SAMEA8515226	Pakistan	2015-17	Illumina MiSeq	WGS	580780	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/007/ERR5685377/ERR5685377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/007/ERR5685377/ERR5685377_2.fastq.gz
ERR5685381	SAMEA8515238	Pakistan	2015-17	Illumina MiSeq	WGS	561478	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/001/ERR5685381/ERR5685381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/001/ERR5685381/ERR5685381_2.fastq.gz
ERR5685386	SAMEA8515244	Pakistan	2015-17	Illumina MiSeq	WGS	1415012	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/006/ERR5685386/ERR5685386_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/006/ERR5685386/ERR5685386_2.fastq.gz
ERR5685398	SAMEA8515260	Pakistan	2015-17	Illumina MiSeq	WGS	1014742	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685398/ERR5685398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685398/ERR5685398_2.fastq.gz
ERR5685405	SAMEA8515312	Pakistan	2015-17	Illumina MiSeq	WGS	1212030	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/005/ERR5685405/ERR5685405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/005/ERR5685405/ERR5685405_2.fastq.gz
ERR5685420	SAMEA8515294	Pakistan	2015-17	Illumina MiSeq	WGS	1001478	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685420/ERR5685420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685420/ERR5685420_2.fastq.gz
ERR5685453	SAMEA8515204	Pakistan	2015-17	Illumina MiSeq	WGS	618556	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685453/ERR5685453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685453/ERR5685453_2.fastq.gz
ERR5685454	SAMEA8515206	Pakistan	2015-17	Illumina MiSeq	WGS	1059342	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/004/ERR5685454/ERR5685454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/004/ERR5685454/ERR5685454_2.fastq.gz
ERR5685456	SAMEA8515210	Pakistan	2015-17	Illumina MiSeq	WGS	1606662	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/006/ERR5685456/ERR5685456_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/006/ERR5685456/ERR5685456_2.fastq.gz
ERR5685465	SAMEA8515223	Pakistan	2015-17	Illumina MiSeq	WGS	988058	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/005/ERR5685465/ERR5685465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/005/ERR5685465/ERR5685465_2.fastq.gz
ERR5685468	SAMEA8515228	Pakistan	2015-17	Illumina MiSeq	WGS	1080860	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685468/ERR5685468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685468/ERR5685468_2.fastq.gz
ERR5685469	SAMEA8515232	Pakistan	2015-17	Illumina MiSeq	WGS	1191828	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685469/ERR5685469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/009/ERR5685469/ERR5685469_2.fastq.gz
ERR5685473	SAMEA8515236	Pakistan	2015-17	Illumina MiSeq	WGS	557356	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685473/ERR5685473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685473/ERR5685473_2.fastq.gz
ERR5685476	SAMEA8515249	Pakistan	2015-17	Illumina MiSeq	WGS	1512146	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/006/ERR5685476/ERR5685476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/006/ERR5685476/ERR5685476_2.fastq.gz
ERR5685481	SAMEA8515263	Pakistan	2015-17	Illumina MiSeq	WGS	715940	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/001/ERR5685481/ERR5685481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/001/ERR5685481/ERR5685481_2.fastq.gz
ERR5685482	SAMEA8515264	Pakistan	2015-17	Illumina MiSeq	WGS	1096770	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685482/ERR5685482_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685482/ERR5685482_2.fastq.gz
ERR5685483	SAMEA8515266	Pakistan	2015-17	Illumina MiSeq	WGS	215730	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685483/ERR5685483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/003/ERR5685483/ERR5685483_2.fastq.gz
ERR5685487	SAMEA8515276	Pakistan	2015-17	Illumina MiSeq	WGS	768132	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/007/ERR5685487/ERR5685487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/007/ERR5685487/ERR5685487_2.fastq.gz
ERR5685488	SAMEA8515277	Pakistan	2015-17	Illumina MiSeq	WGS	1181240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685488/ERR5685488_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/008/ERR5685488/ERR5685488_2.fastq.gz
ERR5685490	SAMEA8515289	Pakistan	2015-17	Illumina MiSeq	WGS	281580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685490/ERR5685490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/000/ERR5685490/ERR5685490_2.fastq.gz
ERR5685492	SAMEA8515298	Pakistan	2015-17	Illumina MiSeq	WGS	298042	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685492/ERR5685492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/002/ERR5685492/ERR5685492_2.fastq.gz
ERR5685497	SAMEA8515325	Pakistan	2015-17	Illumina MiSeq	WGS	210770	ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/007/ERR5685497/ERR5685497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR568/007/ERR5685497/ERR5685497_2.fastq.gz
ERR5751879	SAMEA8581645	Pakistan	2016	Illumina MiSeq	WGS	946070	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/009/ERR5751879/ERR5751879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/009/ERR5751879/ERR5751879_2.fastq.gz
ERR5751888	SAMEA8581636	Pakistan	2016	Illumina MiSeq	WGS	1223270	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/008/ERR5751888/ERR5751888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/008/ERR5751888/ERR5751888_2.fastq.gz
ERR5751894	SAMEA8581630	Pakistan	2016	Illumina MiSeq	WGS	860798	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/004/ERR5751894/ERR5751894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/004/ERR5751894/ERR5751894_2.fastq.gz
ERR5751907	SAMEA8581617	Pakistan	2016	Illumina MiSeq	WGS	423342	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/007/ERR5751907/ERR5751907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/007/ERR5751907/ERR5751907_2.fastq.gz
ERR5751915	SAMEA8581609	Pakistan	2016	Illumina MiSeq	WGS	997310	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/005/ERR5751915/ERR5751915_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/005/ERR5751915/ERR5751915_2.fastq.gz
ERR5751916	SAMEA8581608	Pakistan	2016	Illumina MiSeq	WGS	861850	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/006/ERR5751916/ERR5751916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/006/ERR5751916/ERR5751916_2.fastq.gz
ERR5751942	SAMEA8581582	Pakistan	2016	Illumina MiSeq	WGS	1109988	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/002/ERR5751942/ERR5751942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/002/ERR5751942/ERR5751942_2.fastq.gz
ERR5751983	SAMEA8581541	Pakistan	2016	Illumina MiSeq	WGS	860852	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/003/ERR5751983/ERR5751983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/003/ERR5751983/ERR5751983_2.fastq.gz
ERR5751985	SAMEA8581539	Pakistan	2016	Illumina MiSeq	WGS	812482	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/005/ERR5751985/ERR5751985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/005/ERR5751985/ERR5751985_2.fastq.gz
ERR5752017	SAMEA8581507	Pakistan	2016	Illumina MiSeq	WGS	679066	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/007/ERR5752017/ERR5752017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/007/ERR5752017/ERR5752017_2.fastq.gz
ERR5752026	SAMEA8581498	Pakistan	2016	Illumina MiSeq	WGS	1544574	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/006/ERR5752026/ERR5752026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/006/ERR5752026/ERR5752026_2.fastq.gz
ERR5752028	SAMEA8581496	Pakistan	2016	Illumina MiSeq	WGS	923116	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/008/ERR5752028/ERR5752028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/008/ERR5752028/ERR5752028_2.fastq.gz
ERR5752047	SAMEA8581477	Pakistan	2016	Illumina MiSeq	WGS	1183542	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/007/ERR5752047/ERR5752047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/007/ERR5752047/ERR5752047_2.fastq.gz
ERR5752054	SAMEA8581470	Pakistan	2016	Illumina MiSeq	WGS	2059572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/004/ERR5752054/ERR5752054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/004/ERR5752054/ERR5752054_2.fastq.gz
ERR5752068	SAMEA8581456	Pakistan	2016	Illumina MiSeq	WGS	1172664	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/008/ERR5752068/ERR5752068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/008/ERR5752068/ERR5752068_2.fastq.gz
ERR5752088	SAMEA8581436	Pakistan	2016	Illumina MiSeq	WGS	1038484	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/008/ERR5752088/ERR5752088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/008/ERR5752088/ERR5752088_2.fastq.gz
ERR5752142	SAMEA8581382	Pakistan	2016	Illumina MiSeq	WGS	804662	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/002/ERR5752142/ERR5752142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/002/ERR5752142/ERR5752142_2.fastq.gz
ERR5752154	SAMEA8581370	Pakistan	2016	Illumina MiSeq	WGS	1323874	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/004/ERR5752154/ERR5752154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/004/ERR5752154/ERR5752154_2.fastq.gz
ERR5752167	SAMEA8581357	Pakistan	2016	Illumina MiSeq	WGS	3140748	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/007/ERR5752167/ERR5752167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/007/ERR5752167/ERR5752167_2.fastq.gz
ERR5752192	SAMEA8581332	Pakistan	2016	Illumina MiSeq	WGS	1566792	ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/002/ERR5752192/ERR5752192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR575/002/ERR5752192/ERR5752192_2.fastq.gz
ERR8007861	SAMEA12292558	Pakistan	2016	MinION	WGS	659725	ftp.sra.ebi.ac.uk/vol1/fastq/ERR800/001/ERR8007861/ERR8007861.fastq.gz
ERR8007862	SAMEA12292559	Pakistan	2016	MinION	WGS	16711	ftp.sra.ebi.ac.uk/vol1/fastq/ERR800/002/ERR8007862/ERR8007862.fastq.gz
SRR10094526	SAMN10248967	Pakistan	2016-04	NextSeq 500	WGS	1738658	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/026/SRR10094526/SRR10094526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/026/SRR10094526/SRR10094526_2.fastq.gz
SRR10094535	SAMN10249146	Pakistan	2016-03	NextSeq 500	WGS	2170072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/035/SRR10094535/SRR10094535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/035/SRR10094535/SRR10094535_2.fastq.gz
SRR10094536	SAMN10249030	Pakistan	2016-02	NextSeq 500	WGS	1376217	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/036/SRR10094536/SRR10094536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/036/SRR10094536/SRR10094536_2.fastq.gz
SRR10094537	SAMN10249172	Pakistan	2016-01	NextSeq 500	WGS	1499865	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/037/SRR10094537/SRR10094537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/037/SRR10094537/SRR10094537_2.fastq.gz
SRR10094542	SAMN10249009	Pakistan	2016-02	NextSeq 500	WGS	1499159	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/042/SRR10094542/SRR10094542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/042/SRR10094542/SRR10094542_2.fastq.gz
SRR10094544	SAMN10249138	Pakistan	2016-01	NextSeq 500	WGS	882666	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/044/SRR10094544/SRR10094544_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/044/SRR10094544/SRR10094544_2.fastq.gz
SRR10094545	SAMN10248935	Pakistan	2016-04	NextSeq 500	WGS	805704	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/045/SRR10094545/SRR10094545_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/045/SRR10094545/SRR10094545_2.fastq.gz
SRR10094546	SAMN10249170	Pakistan	2016-04	NextSeq 500	WGS	752107	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/046/SRR10094546/SRR10094546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/046/SRR10094546/SRR10094546_2.fastq.gz
SRR10094547	SAMN10248999	Pakistan	2016-03	NextSeq 500	WGS	1122538	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/047/SRR10094547/SRR10094547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/047/SRR10094547/SRR10094547_2.fastq.gz
SRR10094548	SAMN10249080	Pakistan	2016-03	NextSeq 500	WGS	1296318	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/048/SRR10094548/SRR10094548_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/048/SRR10094548/SRR10094548_2.fastq.gz
SRR10094552	SAMN10249081	Pakistan	2016-02	NextSeq 500	WGS	1165969	ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/052/SRR10094552/SRR10094552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR100/052/SRR10094552/SRR10094552_2.fastq.gz
SRR10740813	SAMN05213494	Pakistan	2013	Sequel	WGS	149615	ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/013/SRR10740813/SRR10740813_subreads.fastq.gz
SRR11317965	SAMN05213501	Pakistan	2013	Sequel	WGS	114869	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/065/SRR11317965/SRR11317965_subreads.fastq.gz
SRR12204418	SAMN15502221	Pakistan	2019	NextSeq 550	WGS	351172	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/018/SRR12204418/SRR12204418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/018/SRR12204418/SRR12204418_2.fastq.gz
SRR12204420	SAMN15502219	Pakistan	2019	NextSeq 550	WGS	333828	ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/020/SRR12204420/SRR12204420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR122/020/SRR12204420/SRR12204420_2.fastq.gz
SRR12823556	SAMN10086704	Pakistan	2015	Illumina MiSeq	WGS	1212033	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/056/SRR12823556/SRR12823556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/056/SRR12823556/SRR12823556_2.fastq.gz
SRR12823560	SAMN10086659	Pakistan	1998	Illumina MiSeq	WGS	396239	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/060/SRR12823560/SRR12823560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/060/SRR12823560/SRR12823560_2.fastq.gz
SRR12823565	SAMN10086737	Pakistan	2015	Illumina MiSeq	WGS	524961	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/065/SRR12823565/SRR12823565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/065/SRR12823565/SRR12823565_2.fastq.gz
SRR12823567	SAMN10086809	Pakistan	2016	Illumina MiSeq	WGS	1301391	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/067/SRR12823567/SRR12823567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/067/SRR12823567/SRR12823567_2.fastq.gz
SRR12823572	SAMN10086811	Pakistan	2016	Illumina MiSeq	WGS	1106558	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/072/SRR12823572/SRR12823572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/072/SRR12823572/SRR12823572_2.fastq.gz
SRR12823585	SAMN10086807	Pakistan	2004	NextSeq 500	WGS	10137533	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/085/SRR12823585/SRR12823585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/085/SRR12823585/SRR12823585_2.fastq.gz
SRR12823667	SAMN10086740	Pakistan	2015	Illumina MiSeq	WGS	692167	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/067/SRR12823667/SRR12823667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/067/SRR12823667/SRR12823667_2.fastq.gz
SRR12823780	SAMN10086828	Pakistan	2016	Illumina MiSeq	WGS	563603	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/080/SRR12823780/SRR12823780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/080/SRR12823780/SRR12823780_2.fastq.gz
SRR12823804	SAMN10086822	Pakistan	1998	Illumina MiSeq	WGS	866374	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/004/SRR12823804/SRR12823804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/004/SRR12823804/SRR12823804_2.fastq.gz
SRR12823805	SAMN10086829	Pakistan	1998	Illumina MiSeq	WGS	742867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/005/SRR12823805/SRR12823805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR128/005/SRR12823805/SRR12823805_2.fastq.gz
SRR13120255	SAMN16833447	Pakistan	2018-05	MinION	WGS	13	ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/055/SRR13120255/SRR13120255_1.fastq.gz
SRR13120257	SAMN16833445	Pakistan	2018-03	MinION	WGS	2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/057/SRR13120257/SRR13120257_1.fastq.gz
SRR13120259	SAMN16833453	Pakistan	2018-11	MinION	WGS	138	ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/059/SRR13120259/SRR13120259_1.fastq.gz
SRR17652062	SAMN25047907	Pakistan	2019	Illumina NovaSeq 6000	WGS	6378815	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/062/SRR17652062/SRR17652062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/062/SRR17652062/SRR17652062_2.fastq.gz
SRR21472551	SAMN30525251	Pakistan	2018-04-02	NextSeq 500	WGS	1768525	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/051/SRR21472551/SRR21472551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/051/SRR21472551/SRR21472551_2.fastq.gz
SRR21472612	SAMN30525567	Pakistan	2018-07-18	NextSeq 500	WGS	2327501	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/012/SRR21472612/SRR21472612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/012/SRR21472612/SRR21472612_2.fastq.gz
SRR21472638	SAMN30525548	Pakistan	2018-07-18	MinION	WGS	62664	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/038/SRR21472638/SRR21472638_1.fastq.gz
SRR21472639	SAMN30525548	Pakistan	2018-07-18	NextSeq 500	WGS	1727322	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/039/SRR21472639/SRR21472639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/039/SRR21472639/SRR21472639_2.fastq.gz
SRR21472783	SAMN30525162	Pakistan	2018-02-27	NextSeq 500	WGS	2749028	ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/083/SRR21472783/SRR21472783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR214/083/SRR21472783/SRR21472783_2.fastq.gz
